instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,0,0,0,0,,,,,,,,,space,0.5916667700003018,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,,,,0,1,1,1,,,,,,,,,space,1.3364658399987093,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,0,2,2,2,,,,,,,,,space,4.019041743998969,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,,,,0,3,3,3,,,,,,,,,space,3.53707498699805,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"You’ll learn 4 questions associated with each perspective, and you’ll use these to interrogate the stories while assuming that perspective. ",instructions_photos/i2.png,,,,0,4,4,4,,,,,,,,,space,2.234660360001726,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,,,,0,5,5,5,,,,,,,,,space,3.035297411999636,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,,,,0,6,6,6,,,,,,,,,space,2.9689419099995575,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,,,,0,7,7,7,,,,,,,,,space,2.4199071069997444,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,0,8,8,8,,,,,,,,,space,4.2195799780020025,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
Try to remember the stories and the answers to the questions as you read them for these later tasks. ,None,,,,0,9,9,9,,,,,,,,,space,1.8531582900031935,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
Let’s begin! The 8 perspectives are as follows:,None,,,,0,10,10,10,,,,,,,,,space,1.0195882150001125,,,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,0,0,0,0,,,,,,,space,0.4196849129984912,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,0,1,1,2,,,,,,,space,0.26868268299949705,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,0,2,2,4,,,,,,,space,0.38629136300005484,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,0,3,3,7,,,,,,,space,0.26919868999902974,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,0,4,4,1,,,,,,,space,0.26974743800019496,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,0,5,5,6,,,,,,,space,0.2507231529998535,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,0,6,6,3,,,,,,,space,0.26964773000145215,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,0,7,7,5,,,,,,,space,0.4673553370012087,,,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,0,0,0,0,,,,,space,4.019662785001856,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,0,1,1,1,,,,,space,2.5867006629996467,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
"Then, you’ll indicate the order in which you saw the questions during the quiz. ",,,,None,,,,,,,,,0,2,2,2,,,,,space,2.469826370001101,',001,2019_Feb_18_1002,part1_subjective_segmentation,3.0.3,60.08628185726199,
