instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,0.3703135860268958,,,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,,,,,space,0.4037424299749546,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
There are 4 parts of the experiment. ,0,1,1,1,,,,,,,space,0.26917235797736794,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
1,0,2,2,2,,,,,,,space,0.26728932495461777,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,,,,,space,0.4002927290275693,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,,,,,space,0.2363948700367473,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",0,5,5,5,,,,,,,space,0.21999726799549535,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
The 4 questions for each perspective are learned with quizzes. ,0,6,6,6,,,,,,,space,0.23667843197472394,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
2,0,7,7,7,,,,,,,space,0.25329348095692694,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
"In the second part of the experiment, you will read 8 short stories. ",0,8,8,8,,,,,,,space,0.2868121679639444,,,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
,,,,,,,,,,,,,space,0.21955586300464347,',001,2019_Jun_11_1200,part1_subjective_segmentation,3.0.4,60.204033759919206,
