count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,34,0,0,0,0,0,0,0,0,[34 12 24 33 41 11 42 23 13 31 32 21 22 43 44 14],"['Location' 'Location' 'Social' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Location' 'Social']",space,1.003097284003161,n,2.552955880993977,99,001,2019_Jan_04_1258,body_updated,None,
0,Attending a Lecture Business Deal,0,0,0,0,0,1,1,1,,,,,v,0.9686398040503263,99,001,2019_Jan_04_1258,body_updated,None,
0,,0,0,0,0,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
1,12,0,1,1,1,0,0,0,0,,,space,1.5845132529502735,n,4.0874199230456725,99,001,2019_Jan_04_1258,body_updated,None,
1,Airport Breakup,0,1,1,1,0,1,1,1,,,,,n,0.8008596750441939,99,001,2019_Jan_04_1258,body_updated,None,
1,,0,1,1,1,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
2,24,0,2,2,2,0,0,0,0,,,n,0.43283835204783827,n,0.9179661510279402,99,001,2019_Jan_04_1258,body_updated,None,
2,Attending a Lecture Proposal,0,2,2,2,0,1,1,1,,,,,v,1.1533846409292892,99,001,2019_Jan_04_1258,body_updated,None,
2,,0,2,2,2,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
3,33,0,3,3,3,0,0,0,0,,,n,1.4358342239866033,v,0.7186349809635431,99,001,2019_Jan_04_1258,body_updated,None,
3,Grocery Shopping Business Deal,0,3,3,3,0,1,1,1,,,,,n,0.1856434609508142,99,001,2019_Jan_04_1258,body_updated,None,
3,,0,3,3,3,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
4,41,0,4,4,4,0,0,0,0,,,n,0.18560747301671654,v,0.40224671096075326,99,001,2019_Jan_04_1258,body_updated,None,
4,Restaurant Meet Cute,0,4,4,4,0,1,1,1,,,,,n,0.08567488600965589,99,001,2019_Jan_04_1258,body_updated,None,
4,,0,4,4,4,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
5,11,0,5,5,5,0,0,0,0,,,n,0.30177765898406506,n,0.35191834799479693,99,001,2019_Jan_04_1258,body_updated,None,
5,Restaurant- Breakup,0,5,5,5,0,1,1,1,,,,,n,0.20179058599751443,99,001,2019_Jan_04_1258,body_updated,None,
5,,0,5,5,5,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
6,42,0,6,6,6,0,0,0,0,,,n,0.28531068400479853,n,0.3512453139992431,99,001,2019_Jan_04_1258,body_updated,None,
6,Airport Meet Cute,0,6,6,6,0,1,1,1,,,,,v,0.417503640986979,99,001,2019_Jan_04_1258,body_updated,None,
6,,0,6,6,6,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
7,23,0,7,7,7,0,0,0,0,,,n,0.05138957896269858,v,0.15232080104760826,99,001,2019_Jan_04_1258,body_updated,None,
7,Grocery shopping Proposal,0,7,7,7,0,1,1,1,,,,,v,0.4853164899395779,99,001,2019_Jan_04_1258,body_updated,None,
7,,0,7,7,7,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
8,13,0,8,8,8,0,0,0,0,,,n,0.18518738297279924,n,0.5517645670333877,99,001,2019_Jan_04_1258,body_updated,None,
8,Grocery Shopping Breakup,0,8,8,8,0,1,1,1,,,,,v,0.11793059902265668,99,001,2019_Jan_04_1258,body_updated,None,
8,,0,8,8,8,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
9,31,0,9,9,9,0,0,0,0,,,n,0.08416133502032608,n,0.46799087489489466,99,001,2019_Jan_04_1258,body_updated,None,
9,Restaurant Business Deal,0,9,9,9,0,1,1,1,,,,,v,0.36790907196700573,99,001,2019_Jan_04_1258,body_updated,None,
9,,0,9,9,9,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
10,32,0,10,10,10,0,0,0,0,,,n,0.16851871996186674,n,0.5899011510191485,99,001,2019_Jan_04_1258,body_updated,None,
10,Airport Business Deal,0,10,10,10,0,1,1,1,,,,,v,0.15115894610062242,99,001,2019_Jan_04_1258,body_updated,None,
10,,0,10,10,10,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
11,21,0,11,11,11,0,0,0,0,,,n,0.18511113605927676,v,0.2692979279672727,99,001,2019_Jan_04_1258,body_updated,None,
11,Restaurant Proposal,0,11,11,11,0,1,1,1,,,,,n,0.16958149103447795,99,001,2019_Jan_04_1258,body_updated,None,
11,,0,11,11,11,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
12,22,0,12,12,12,0,0,0,0,,,n,0.7352111770305783,n,0.5512897690059617,99,001,2019_Jan_04_1258,body_updated,None,
12,Airport Proposal,0,12,12,12,0,1,1,1,,,,,v,0.33513232599943876,99,001,2019_Jan_04_1258,body_updated,None,
12,,0,12,12,12,,,,,,,,,,,99,001,2019_Jan_04_1258,body_updated,None,
